deal_id,client,created_date,closed_date,stage,deal_value,source_campaign
DEAL-00001,Solmar Hotels,2025-02-07,,New,1397.2,
DEAL-00002,Solmar Hotels,2025-02-08,,Qualified,2992.57,ES_Search_Generic_2025Q1
DEAL-00003,Solmar Hotels,2025-02-08,,New,2028.14,ES_Social_Retargeting_2025Q1
DEAL-00004,Solmar Hotels,2025-02-10,,Qualified,447.31,ES_Social_Retargeting_2025Q1
DEAL-00005,Solmar Hotels,2025-02-11,,Qualified,818.63,Organic Search
DEAL-00006,Solmar Hotels,2025-02-17,2025-04-06,Won,1890.81,ES_Sponsored_Corporate_2025Q1
DEAL-00007,Solmar Hotels,2025-02-18,2025-03-13,Won,2022.68,ES_Social_Retargeting_2025Q1
DEAL-00008,Solmar Hotels,2025-02-20,2025-03-26,Lost,986.45,ES_Search_Ge
DEAL-00009,Solmar Hotels,2025-02-20,2025-03-23,Won,333.56,ES_Social_Retargeting_2025Q1
DEAL-00010,Solmar Hotels,2025-02-24,2025-03-01,Won,2366.74,ES_Social_Retargeting_2025Q1
DEAL-00011,Solmar Hotels,2025-02-25,2025-03-28,Won,2728.74,es sponsored corporate 2025q1??
DEAL-00012,Solmar Hotels,2025-02-25,2025-03-24,Won,2047.82,ES_Search_Brand_2025Q1
DEAL-00013,Solmar Hotels,2025-02-27,2025-03-27,Lost,203.86,ES_Search_Brand_2025Q1
DEAL-00014,Solmar Hotels,2025-02-27,2025-04-06,Lost,1671.24,ES_Social_Prospecting_2025Q1
DEAL-00015,Solmar Hotels,2025-02-27,,New,911.66,ES_Social_Prospecting_2025Q1
DEAL-00016,Solmar Hotels,2025-03-04,2025-03-25,Won,2178.95,
DEAL-00017,Solmar Hotels,2025-03-09,2025-04-17,Won,2724.14,ES_Search_Brand_2025Q1
DEAL-00018,Solmar Hotels,2025-03-17,,New,968.54,ES_Sponsored_Corporate_2025Q1
DEAL-00019,Solmar Hotels,2025-03-23,2025-04-22,Won,2537.98,Organic
DEAL-00020,Solmar Hotels,2025-03-23,2025-05-01,Won,2509.59,Organic Search
DEAL-00021,Solmar Hotels,2025-03-26,2025-05-11,Won,1643.7,ES_Search_Generic_2025Q1
DEAL-00022,Solmar Hotels,2025-04-01,2025-05-23,Won,414.25,ES_Social_Retargeting_2025Q1
DEAL-00023,Solmar Hotels,2025-04-08,2025-05-18,Won,1780.45,ES_Sponsored_Corporate_2025Q1
DEAL-00024,Solmar Hotels,2025-04-15,,Qualified,1796.51,es social retargeting 2025q2??
DEAL-00025,Solmar Hotels,2025-04-16,2025-05-11,Won,1127.89,ES_Social_Retargeting_2025Q2
DEAL-00026,Solmar Hotels,2025-04-16,2025-05-13,Lost,1057.99,ES_Social_Retargeting_2025Q1
DEAL-00027,Solmar Hotels,2025-04-19,2025-04-24,Won,156.65,-
DEAL-00028,Solmar Hotels,2025-04-19,2025-04-24,Won,354.08,ES_Social_Retargeting_2025Q1
DEAL-00029,Solmar Hotels,2025-04-19,2025-06-09,Lost,382.04,ES_Search_Brand_2025Q2
DEAL-00030,Solmar Hotels,2025-04-22,,Qualified,528.96,es social prospecting 2025q1??
DEAL-00031,Solmar Hotels,2025-04-24,,New,443.31,
DEAL-00032,Solmar Hotels,2025-04-25,2025-05-25,Won,1066.33,google ad
DEAL-00033,Solmar Hotels,2025-04-28,,Qualified,2800.45,ES_Sponsored_Corporate_2025Q1
DEAL-00034,Solmar Hotels,2025-04-29,2025-05-06,Lost,2978.77,
DEAL-00035,Solmar Hotels,2025-05-02,2025-06-14,Lost,1697.46,PT_Social_Prospecting_2025Q2
DEAL-00036,Solmar Hotels,2025-05-02,,New,1431.8,
DEAL-00037,Solmar Hotels,2025-05-06,2025-05-24,Lost,1435.4,ES_Search_SummerEscape_2025Q2
DEAL-00038,Solmar Hotels,2025-05-11,,New,2000.29,n/a
DEAL-00039,Solmar Hotels,2025-05-14,2025-05-26,Lost,724.0,TBD
DEAL-00040,Solmar Hotels,2025-05-23,2025-07-21,Won,2377.51,ES_Search_Ge
DEAL-00041,Solmar Hotels,2025-05-24,2025-07-09,Won,2418.99,Organic Search
DEAL-00042,Solmar Hotels,2025-05-25,2025-06-17,Lost,2691.34,
DEAL-00043,Solmar Hotels,2025-05-26,,Qualified,2985.38,old campaign?
DEAL-00044,Solmar Hotels,2025-05-28,2025-06-03,Won,1406.76,
DEAL-00045,Solmar Hotels,2025-05-30,,New,872.65,walk-in
DEAL-00046,Solmar Hotels,2025-05-31,2025-07-22,Won,2627.23,ES_Sponsored_Corporate_2025Q2
DEAL-00047,Solmar Hotels,2025-06-03,2025-06-18,Lost,2280.57,ES_Social_Prospecting_2025Q1
DEAL-00048,Solmar Hotels,2025-06-04,2025-07-17,Won,2096.17,
DEAL-00049,Solmar Hotels,2025-06-05,,Qualified,525.47,
DEAL-00050,Solmar Hotels,2025-06-05,2025-06-27,Lost,2869.72,ES_Social_Prospecting_2025Q2
DEAL-00051,Solmar Hotels,2025-06-07,,New,1385.08,PT_SOCIAL_PROSPECTING_2025Q2 (COPY)
DEAL-00052,Solmar Hotels,2025-06-07,2025-06-20,Won,676.03,ES_Search_Brand_2025Q2
DEAL-00053,Solmar Hotels,2025-06-08,,New,995.15,PT_Social_Prospecting_2025Q2
DEAL-00054,Solmar Hotels,2025-06-09,2025-06-22,Won,1917.14,
DEAL-00055,Solmar Hotels,2025-06-09,2025-08-01,Won,883.58,ES_SOCIAL_RETARGETING_2025Q2 (COPY)
DEAL-00056,Solmar Hotels,2025-06-10,,Qualified,1554.17,ES_Social_Prospecting_2025Q2
DEAL-00057,Solmar Hotels,2025-06-12,2025-07-25,Lost,2341.39,PT_SOCIAL_PROSPECTING_2025Q2 (COPY)
DEAL-00058,Solmar Hotels,2025-06-12,,Qualified,2267.55,
DEAL-00059,Solmar Hotels,2025-06-12,2025-08-02,Won,204.98,ES_Search_SummerEscape_2025Q2
DEAL-00060,Solmar Hotels,2025-06-13,2025-06-24,Won,2166.2,ES_Search_Generic_2025Q1
DEAL-00061,Solmar Hotels,2025-06-15,,Qualified,2799.08,ES_Search_Brand_2025Q1
DEAL-00062,Solmar Hotels,2025-06-15,2025-07-22,Lost,2599.96,
DEAL-00063,Solmar Hotels,2025-06-15,2025-08-01,Won,796.6,ES_Search_SummerEscape_2025Q2
DEAL-00064,Solmar Hotels,2025-06-17,2025-07-29,Won,2165.83,
DEAL-00065,Solmar Hotels,2025-06-18,2025-07-25,Won,385.81,PT_Social_Prospecting_2025Q1
DEAL-00066,Solmar Hotels,2025-06-18,,New,2703.9,walk-in
DEAL-00067,Solmar Hotels,2025-06-18,2025-07-27,Lost,675.0,
DEAL-00068,Solmar Hotels,2025-06-19,2025-07-13,Lost,337.83,ES_SOCIAL_PROSPECTING_2025Q1 (COPY)
DEAL-00069,Solmar Hotels,2025-06-19,,New,2747.21,unknown source
DEAL-00070,Solmar Hotels,2025-06-19,,New,1809.62,Organic
DEAL-00071,Solmar Hotels,2025-06-20,2025-07-11,Lost,1148.04,ES_Sponsored_Corporate_2025Q2
DEAL-00072,Solmar Hotels,2025-06-22,2025-08-01,Won,1233.58,PT_Social_Prospecting_2025Q2
DEAL-00073,Solmar Hotels,2025-06-22,,New,2728.43,Organic Search
DEAL-00074,Solmar Hotels,2025-06-24,2025-07-07,Won,821.57,ES_Social_Retargeting_2025Q1
DEAL-00075,Solmar Hotels,2025-06-24,2025-07-18,Won,1217.25,ES_Social_Prospecting_2025Q2
DEAL-00076,Solmar Hotels,2025-06-27,2025-07-12,Won,626.85,ES_Search_Generic_2025Q2
DEAL-00077,Solmar Hotels,2025-06-27,2025-07-13,Won,2316.0,
DEAL-00078,Solmar Hotels,2025-06-27,2025-07-31,Won,510.12,
DEAL-00079,Solmar Hotels,2025-06-28,2025-08-08,Won,2271.41,PT_Social_Prospecting_2025Q2
DEAL-00080,Solmar Hotels,2025-06-28,2025-08-19,Lost,905.35,PT_Social_Prospecting_2025Q1
DEAL-00081,Solmar Hotels,2025-06-29,2025-08-24,Won,1585.37,ES_SEARCH_GENERIC_2025Q2 (COPY)
DEAL-00082,Solmar Hotels,2025-06-29,2025-07-02,Won,2026.1,facebook
DEAL-00083,Solmar Hotels,2025-06-30,2025-08-12,Won,1142.17,ES_Social_Retargeting_2025Q1
