date,usd_eur
2025-02-03,0.9185
2025-02-04,0.9198
2025-02-05,0.9191
2025-02-06,0.9177
2025-02-07,0.9164
2025-02-10,0.9189
2025-02-11,0.9171
2025-02-12,0.9167
2025-02-13,0.9165
2025-02-14,0.9175
2025-02-17,0.9162
2025-02-18,0.9149
2025-02-19,0.916
2025-02-20,0.9197
2025-02-21,0.9188
2025-02-24,0.9178
2025-02-25,0.9215
2025-02-26,0.9209
2025-02-27,0.9204
2025-02-28,0.9206
2025-03-03,0.9212
2025-03-04,0.9216
2025-03-05,0.9231
2025-03-06,0.921
2025-03-07,0.9206
2025-03-10,0.9222
2025-03-11,0.9188
2025-03-12,0.9168
2025-03-13,0.9179
2025-03-14,0.918
2025-03-17,0.917
2025-03-18,0.9175
2025-03-19,0.9182
2025-03-20,0.9168
2025-03-21,0.9167
2025-03-24,0.915
2025-03-25,0.9167
2025-03-26,0.9143
2025-03-27,0.9142
2025-03-28,0.9153
2025-03-31,0.9183
2025-04-01,0.9181
2025-04-02,0.9222
2025-04-03,0.9205
2025-04-04,0.9214
2025-04-07,0.9203
2025-04-08,0.9228
2025-04-09,0.9226
2025-04-10,0.9211
2025-04-11,0.9229
2025-04-14,0.9223
2025-04-15,0.9203
2025-04-16,0.9199
2025-04-17,0.9214
2025-04-18,0.9212
2025-04-21,0.9206
2025-04-22,0.9206
2025-04-23,0.9169
2025-04-24,0.9212
2025-04-25,0.9212
2025-04-28,0.9226
2025-04-29,0.9248
2025-04-30,0.9232
2025-05-01,0.9213
2025-05-02,0.9237
2025-05-05,0.9225
2025-05-06,0.9219
2025-05-07,0.9207
2025-05-08,0.9162
2025-05-09,0.9159
2025-05-12,0.9157
2025-05-13,0.9173
2025-05-14,0.9166
2025-05-15,0.9157
2025-05-16,0.9165
2025-05-19,0.9178
2025-05-20,0.9161
2025-05-21,0.9131
2025-05-22,0.9164
2025-05-23,0.9187
2025-05-26,0.9177
2025-05-27,0.9172
2025-05-28,0.9171
2025-05-29,0.9158
2025-05-30,0.9149
2025-06-02,0.9147
2025-06-03,0.9125
2025-06-04,0.916
2025-06-05,0.9134
2025-06-06,0.9102
2025-06-09,0.9116
2025-06-10,0.9109
2025-06-11,0.9115
2025-06-12,0.9115
