date,client,channel,campaign_name,spend,impressions,clicks,conversions,conversion_value
2025-02-01,Clinica Vantia,Google Ads,Brand Search ES Q1,27.02,2372,97,9,5236.73
2025-02-01,Clinica Vantia,Google Ads,LeadGen Search ES Q1,40.52,3637,110,5,9908.56
2025-02-02,Clinica Vantia,Google Ads,Brand Search ES Q1,23.31,1715,64,3,2457.38
2025-02-02,Clinica Vantia,Google Ads,LeadGen Search ES Q1,34.96,2604,93,2,3187.29
2025-02-03,Clinica Vantia,Google Ads,Brand Search ES Q1,24.73,2536,82,2,1375.05
2025-02-03,Clinica Vantia,Google Ads,LeadGen Search ES Q1,37.09,3702,121,5,5985.57
2025-02-04,Clinica Vantia,Google Ads,Brand Search ES Q1,26.42,1992,73,4,2025.57
2025-02-04,Clinica Vantia,Google Ads,LeadGen Search ES Q1,39.63,2942,101,6,6346.93
2025-02-05,Clinica Vantia,Google Ads,Brand Search ES Q1,23.97,2837,113,4,3293.93
2025-02-05,Clinica Vantia,Google Ads,LeadGen Search ES Q1,35.95,4245,142,2,1258.68
2025-02-06,Clinica Vantia,Google Ads,Brand Search ES Q1,32.02,3547,112,2,2755.46
2025-02-06,Clinica Vantia,Google Ads,LeadGen Search ES Q1,48.03,5513,173,6,5329.04
2025-02-07,Clinica Vantia,Google Ads,Brand Search ES Q1,22.43,2007,119,4,2805.93
2025-02-07,Clinica Vantia,Google Ads,LeadGen Search ES Q1,33.65,3037,150,5,6918.41
2025-02-08,Clinica Vantia,Google Ads,Brand Search ES Q1,22.51,1722,54,1,625.09
2025-02-08,Clinica Vantia,Google Ads,LeadGen Search ES Q1,33.77,2504,96,4,2941.68
2025-02-09,Clinica Vantia,Google Ads,Brand Search ES Q1,22.23,1899,116,3,3289.95
2025-02-09,Clinica Vantia,Google Ads,LeadGen Search ES Q1,33.35,2893,193,8,6894.14
2025-02-10,Clinica Vantia,Google Ads,Brand Search ES Q1,16.75,1454,80,2,1305.01
2025-02-10,Clinica Vantia,Google Ads,LeadGen Search ES Q1,25.13,2327,121,2,1704.73
2025-02-11,Clinica Vantia,Google Ads,Brand Search ES Q1,24.13,2401,69,1,825.24
2025-02-11,Clinica Vantia,Google Ads,LeadGen Search ES Q1,36.19,3552,117,2,1503.12
2025-02-12,Clinica Vantia,Google Ads,Brand Search ES Q1,21.0,2314,124,0,0.0
2025-02-12,Clinica Vantia,Google Ads,LeadGen Search ES Q1,31.5,3437,155,9,11000.37
2025-02-13,Clinica Vantia,Google Ads,Brand Search ES Q1,20.63,2027,68,1,839.75
2025-02-13,Clinica Vantia,Google Ads,LeadGen Search ES Q1,30.95,3035,110,0,0.0
2025-02-14,Clinica Vantia,Google Ads,Brand Search ES Q1,29.38,3078,176,13,15170.25
2025-02-14,Clinica Vantia,Google Ads,LeadGen Search ES Q1,44.07,4715,291,14,19243.1
2025-02-15,Clinica Vantia,Google Ads,Brand Search ES Q1,22.27,2035,73,6,
2025-02-15,Clinica Vantia,Google Ads,LeadGen Search ES Q1,33.4,3052,108,3,2640.87
2025-02-16,Clinica Vantia,Google Ads,Brand Search ES Q1,22.68,1852,75,1,563.44
2025-02-16,Clinica Vantia,Google Ads,LeadGen Search ES Q1,34.02,2738,88,1,889.47
2025-02-17,Clinica Vantia,Google Ads,Brand Search ES Q1,29.63,2814,96,5,4994.15
2025-02-17,Clinica Vantia,Google Ads,LeadGen Search ES Q1,44.45,4099,158,2,1515.93
2025-02-18,Clinica Vantia,Google Ads,Brand Search ES Q1,26.12,3299,121,2,1386.68
2025-02-18,Clinica Vantia,Google Ads,LeadGen Search ES Q1,39.18,4976,209,8,7915.46
2025-02-19,Clinica Vantia,Google Ads,Brand Search ES Q1,25.66,3246,128,4,2588.82
2025-02-19,Clinica Vantia,Google Ads,LeadGen Search ES Q1,38.49,4957,187,4,2776.82
2025-02-20,Clinica Vantia,Google Ads,Brand Search ES Q1,21.32,2387,89,3,3262.61
2025-02-20,Clinica Vantia,Google Ads,LeadGen Search ES Q1,31.98,3590,136,4,4337.44
2025-02-21,Clinica Vantia,Google Ads,Brand Search ES Q1,21.42,2270,82,5,3744.97
2025-02-21,Clinica Vantia,Google Ads,LeadGen Search ES Q1,32.12,3565,127,7,5377.32
2025-02-22,Clinica Vantia,Google Ads,Brand Search ES Q1,23.01,1782,90,4,5443.18
2025-02-22,Clinica Vantia,Google Ads,LeadGen Search ES Q1,34.51,2563,139,7,
2025-02-23,Clinica Vantia,Google Ads,Brand Search ES Q1,21.24,2573,125,5,4198.05
2025-02-23,Clinica Vantia,Google Ads,LeadGen Search ES Q1,31.85,3935,216,7,5655.02
2025-02-24,Clinica Vantia,Google Ads,Brand Search ES Q1,23.31,2560,99,8,5385.58
2025-02-24,Clinica Vantia,Google Ads,LeadGen Search ES Q1,34.97,3992,153,5,4894.38
2025-02-25,Clinica Vantia,Google Ads,Brand Search ES Q1,22.41,2932,94,0,0.0
2025-02-25,Clinica Vantia,Google Ads,LeadGen Search ES Q1,33.61,4197,159,4,3016.65
2025-02-26,Clinica Vantia,Google Ads,Brand Search ES Q1,31.45,2680,94,1,858.89
2025-02-26,Clinica Vantia,Google Ads,LeadGen Search ES Q1,47.17,3922,135,3,2168.93
2025-02-27,Clinica Vantia,Google Ads,Brand Search ES Q1,26.13,2643,136,7,5751.07
2025-02-27,Clinica Vantia,Google Ads,LeadGen Search ES Q1,39.19,3973,199,7,6881.93
2025-02-28,Clinica Vantia,Google Ads,Brand Search ES Q1,25.06,3570,159,3,3189.35
2025-02-28,Clinica Vantia,Google Ads,LeadGen Search ES Q1,37.59,5216,235,5,5113.72
2025-03-01,Clinica Vantia,Google Ads,Brand Search ES Q1,27.2,2063,103,0,0.0
2025-03-01,Clinica Vantia,Google Ads,LeadGen Search ES Q1,40.81,2900,149,2,1753.21
2025-03-02,Clinica Vantia,Google Ads,Brand Search ES Q1,21.69,2116,97,8,5883.53
2025-03-02,Clinica Vantia,Google Ads,LeadGen Search ES Q1,32.54,3122,155,10,12903.0
2025-03-03,Clinica Vantia,Google Ads,Brand Search ES Q1,35.71,2855,115,6,5911.8
2025-03-03,Clinica Vantia,Google Ads,LeadGen Search ES Q1,53.56,4224,159,2,2042.75
2025-03-04,Clinica Vantia,Google Ads,Brand Search ES Q1,32.7,3063,119,3,2643.18
2025-03-04,Clinica Vantia,Google Ads,LeadGen Search ES Q1,49.04,4665,188,6,4068.88
2025-03-05,Clinica Vantia,Google Ads,Brand Search ES Q1,22.44,2286,78,4,3482.09
2025-03-05,Clinica Vantia,Google Ads,LeadGen Search ES Q1,33.67,3354,108,3,4216.65
2025-03-06,Clinica Vantia,Google Ads,Brand Search ES Q1,23.99,3162,180,7,5460.81
2025-03-06,Clinica Vantia,Google Ads,LeadGen Search ES Q1,35.99,4845,253,11,10934.57
2025-03-07,Clinica Vantia,Google Ads,Brand Search ES Q1,21.71,1678,60,4,
2025-03-07,Clinica Vantia,Google Ads,LeadGen Search ES Q1,32.57,2442,88,1,909.27
2025-03-08,Clinica Vantia,Google Ads,Brand Search ES Q1,21.58,2938,99,3,3044.81
2025-03-08,Clinica Vantia,Google Ads,LeadGen Search ES Q1,32.37,4648,161,9,5764.54
2025-03-09,Clinica Vantia,Google Ads,Brand Search ES Q1,22.71,2186,74,4,3065.01
2025-03-09,Clinica Vantia,Google Ads,LeadGen Search ES Q1,34.07,3343,134,7,4898.97
2025-03-10,Clinica Vantia,Google Ads,Brand Search ES Q1,28.18,2227,91,7,7186.23
2025-03-10,Clinica Vantia,Google Ads,LeadGen Search ES Q1,42.26,3292,170,11,13111.73
2025-03-11,Clinica Vantia,Google Ads,Brand Search ES Q1,25.9,2641,95,3,2047.56
2025-03-11,Clinica Vantia,Google Ads,LeadGen Search ES Q1,38.86,3801,110,5,
2025-03-12,Clinica Vantia,Google Ads,Brand Search ES Q1,30.72,3844,193,3,2868.71
2025-03-12,Clinica Vantia,Google Ads,LeadGen Search ES Q1,46.08,5954,369,6,4973.25
2025-03-13,Clinica Vantia,Google Ads,Brand Search ES Q1,18.49,2395,128,9,9425.89
2025-03-13,Clinica Vantia,Google Ads,LeadGen Search ES Q1,27.73,3623,174,7,4636.79
2025-03-14,Clinica Vantia,Google Ads,Brand Search ES Q1,29.12,3117,144,3,3027.51
2025-03-14,Clinica Vantia,Google Ads,LeadGen Search ES Q1,43.69,4757,210,8,7489.72
2025-03-15,Clinica Vantia,Google Ads,Brand Search ES Q1,19.74,2747,143,2,
2025-03-15,Clinica Vantia,Google Ads,LeadGen Search ES Q1,29.61,3934,200,7,6156.52
2025-03-16,Clinica Vantia,Google Ads,Brand Search ES Q1,19.85,2303,64,1,776.1
2025-03-16,Clinica Vantia,Google Ads,LeadGen Search ES Q1,29.78,3429,110,2,2241.0
2025-03-17,Clinica Vantia,Google Ads,Brand Search ES Q1,18.63,1708,59,5,3457.27
2025-03-17,Clinica Vantia,Google Ads,LeadGen Search ES Q1,27.94,2529,90,1,
2025-03-18,Clinica Vantia,Google Ads,Brand Search ES Q1,23.22,2400,86,4,3434.12
2025-03-18,Clinica Vantia,Google Ads,LeadGen Search ES Q1,34.83,3547,131,4,3086.99
2025-03-19,Clinica Vantia,Google Ads,Brand Search ES Q1,20.81,2292,68,0,0.0
2025-03-19,Clinica Vantia,Google Ads,LeadGen Search ES Q1,31.22,3368,119,4,5005.02
2025-03-20,Clinica Vantia,Google Ads,Brand Search ES Q1,30.18,2362,104,1,578.52
2025-03-20,Clinica Vantia,Google Ads,LeadGen Search ES Q1,45.27,3596,166,7,7831.41
2025-03-21,Clinica Vantia,Google Ads,Brand Search ES Q1,24.72,3211,185,6,4031.1
2025-03-21,Clinica Vantia,Google Ads,LeadGen Search ES Q1,37.08,4822,284,8,9759.24
2025-03-22,Clinica Vantia,Google Ads,Brand Search ES Q1,20.94,1753,72,0,0.0
2025-03-22,Clinica Vantia,Google Ads,LeadGen Search ES Q1,31.42,2666,126,3,3086.91
2025-03-23,Clinica Vantia,Google Ads,Brand Search ES Q1,27.94,2750,86,4,3116.99
2025-03-23,Clinica Vantia,Google Ads,LeadGen Search ES Q1,41.91,4176,139,3,2594.39
2025-03-24,Clinica Vantia,Google Ads,Brand Search ES Q1,26.64,2560,127,5,5884.16
2025-03-24,Clinica Vantia,Google Ads,LeadGen Search ES Q1,39.96,3619,186,8,6474.71
2025-03-25,Clinica Vantia,Google Ads,Brand Search ES Q1,23.6,2058,87,3,1918.14
