date,client,channel,campaign_name,spend,impressions,clicks,conversions,conversion_value
2025-01-31,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,3.41,95,0,0,0.0
2025-02-01,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,5.03,148,0,0,0.0
2025-02-02,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,15.81,398,4,0,0.0
2025-02-03,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,15.77,406,2,0,0.0
2025-02-04,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,17.85,612,5,0,0.0
2025-02-05,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,15.56,363,1,0,0.0
2025-02-06,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,17.59,484,3,0,0.0
2025-02-07,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,3.39,84,0,0,0.0
2025-02-08,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,3.29,107,0,0,0.0
2025-02-09,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,12.71,283,2,0,0.0
2025-02-10,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,16.08,481,3,0,0.0
2025-02-11,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,10.6,293,2,0,0.0
2025-02-12,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,13.02,380,1,0,0.0
2025-02-13,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,12.43,449,2,0,0.0
2025-02-14,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,3.6,110,0,0,0.0
2025-02-15,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,4.92,120,4,0,0.0
2025-02-16,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,13.55,391,2,0,0.0
2025-02-17,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,16.18,441,2,0,0.0
2025-02-18,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,12.11,316,0,0,0.0
2025-02-19,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,14.91,334,2,0,0.0
2025-02-20,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,14.26,329,3,0,0.0
2025-02-21,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,3.01,66,1,0,0.0
2025-02-22,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,4.59,97,0,0,0.0
2025-02-23,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,18.66,403,5,0,0.0
2025-02-24,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,14.26,476,0,0,0.0
2025-02-25,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,13.24,400,0,0,0.0
2025-02-26,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,13.05,456,2,1,36.7
2025-02-27,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,16.68,525,2,0,0.0
2025-02-28,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,3.51,112,0,0,0.0
2025-03-01,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,3.7,107,0,0,0.0
2025-03-02,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,13.67,333,0,0,0.0
2025-03-03,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,17.14,358,0,0,0.0
2025-03-04,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,13.18,346,2,0,0.0
2025-03-05,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,12.39,279,1,0,0.0
2025-03-06,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,13.5,358,1,0,0.0
2025-03-07,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,3.49,103,0,0,0.0
2025-03-08,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,3.41,131,0,0,0.0
2025-03-09,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,16.67,559,2,0,0.0
2025-03-10,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,14.53,370,3,0,0.0
2025-03-11,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,14.66,358,0,0,0.0
2025-03-12,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,12.65,296,2,0,0.0
2025-03-13,Clinica Vantia,LinkedIn Ads,Partnerships Sponsored ES Q1,18.68,650,5,0,0.0
