date,client,channel,campaign_name,spend,impressions,clicks,conversions,conversion_value
01/02/2025,Clinica Vantia,Meta Ads,Prospecting Social ES Q1,22.28,3581,40,0,0.0
01/02/2025,Clinica Vantia,Meta Ads,Retargeting Social ES Q1,13.37,2162,21,0,0.0
02/02/2025,Clinica Vantia,Meta Ads,Prospecting Social ES Q1,30.33,3500,52,2,1450.5
02/02/2025,Clinica Vantia,Meta Ads,Retargeting Social ES Q1,18.2,2120,22,2,1201.35
03/02/2025,Clinica Vantia,Meta Ads,Prospecting Social ES Q1,21.71,3294,35,0,0.0
03/02/2025,Clinica Vantia,Meta Ads,Retargeting Social ES Q1,13.02,1927,17,1,636.36
04/02/2025,Clinica Vantia,Meta Ads,Prospecting Social ES Q1,22.83,2546,38,1,697.41
04/02/2025,Clinica Vantia,Meta Ads,Retargeting Social ES Q1,13.7,1518,27,0,0.0
05/02/2025,Clinica Vantia,Meta Ads,Prospecting Social ES Q1,30.3,4512,51,1,806.92
05/02/2025,Clinica Vantia,Meta Ads,Retargeting Social ES Q1,18.18,2727,29,0,0.0
06/02/2025,Clinica Vantia,Meta Ads,Prospecting Social ES Q1,20.81,3451,40,0,0.0
06/02/2025,Clinica Vantia,Meta Ads,Retargeting Social ES Q1,12.48,2018,24,0,0.0
07/02/2025,Clinica Vantia,Meta Ads,Prospecting Social ES Q1,25.88,4505,69,1,938.12
07/02/2025,Clinica Vantia,Meta Ads,Retargeting Social ES Q1,15.53,2631,54,2,1058.23
08/02/2025,Clinica Vantia,Meta Ads,Prospecting Social ES Q1,27.69,2559,63,2,1846.19
08/02/2025,Clinica Vantia,Meta Ads,Retargeting Social ES Q1,16.61,1588,36,3,2933.83
09/02/2025,Clinica Vantia,Meta Ads,Prospecting Social ES Q1,21.67,2995,40,2,1012.32
09/02/2025,Clinica Vantia,Meta Ads,Retargeting Social ES Q1,13.0,1793,25,1,743.72
10/02/2025,Clinica Vantia,Meta Ads,Prospecting Social ES Q1,23.37,2150,25,0,0.0
10/02/2025,Clinica Vantia,Meta Ads,Retargeting Social ES Q1,14.02,1337,18,1,1125.56
11/02/2025,Clinica Vantia,Meta Ads,Prospecting Social ES Q1,24.72,2635,32,1,1145.66
11/02/2025,Clinica Vantia,Meta Ads,Retargeting Social ES Q1,14.83,1571,25,2,2438.05
12/02/2025,Clinica Vantia,Meta Ads,Prospecting Social ES Q1,27.81,2646,59,0,0.0
12/02/2025,Clinica Vantia,Meta Ads,Retargeting Social ES Q1,16.69,1611,29,0,0.0
