date,client,channel,campaign_name,spend,impressions,clicks,conversions,conversion_value
2025-02-01,Clinica Vantia,Organic Search,Organic Search,0.0,223,5,0,0.0
2025-02-02,Clinica Vantia,Organic Search,Organic Search,0.0,206,6,0,0.0
2025-02-03,Clinica Vantia,Organic Search,Organic Search,0.0,287,10,0,0.0
2025-02-04,Clinica Vantia,Organic Search,Organic Search,0.0,302,6,0,0.0
2025-02-05,Clinica Vantia,Organic Search,Organic Search,0.0,281,10,0,0.0
2025-02-06,Clinica Vantia,Organic Search,Organic Search,0.0,241,7,0,0.0
2025-02-07,Clinica Vantia,Organic Search,Organic Search,0.0,314,6,0,0.0
2025-02-08,Clinica Vantia,Organic Search,Organic Search,0.0,275,5,0,0.0
2025-02-09,Clinica Vantia,Organic Search,Organic Search,0.0,269,10,0,0.0
2025-02-10,Clinica Vantia,Organic Search,Organic Search,0.0,265,12,0,0.0
2025-02-11,Clinica Vantia,Organic Search,Organic Search,0.0,292,7,0,0.0
2025-02-12,Clinica Vantia,Organic Search,Organic Search,0.0,321,9,0,0.0
2025-02-13,Clinica Vantia,Organic Search,Organic Search,0.0,273,2,0,0.0
2025-02-14,Clinica Vantia,Organic Search,Organic Search,0.0,311,6,0,0.0
2025-02-15,Clinica Vantia,Organic Search,Organic Search,0.0,284,8,0,0.0
2025-02-16,Clinica Vantia,Organic Search,Organic Search,0.0,318,9,0,0.0
2025-02-17,Clinica Vantia,Organic Search,Organic Search,0.0,280,12,0,0.0
2025-02-18,Clinica Vantia,Organic Search,Organic Search,0.0,232,10,0,0.0
2025-02-19,Clinica Vantia,Organic Search,Organic Search,0.0,246,7,0,0.0
2025-02-20,Clinica Vantia,Organic Search,Organic Search,0.0,259,13,1,714.91
2025-02-21,Clinica Vantia,Organic Search,Organic Search,0.0,215,12,0,0.0
2025-02-22,Clinica Vantia,Organic Search,Organic Search,0.0,314,10,1,967.95
2025-02-23,Clinica Vantia,Organic Search,Organic Search,0.0,244,2,0,0.0
2025-02-24,Clinica Vantia,Organic Search,Organic Search,0.0,240,3,0,0.0
2025-02-25,Clinica Vantia,Organic Search,Organic Search,0.0,262,12,1,731.71
2025-02-26,Clinica Vantia,Organic Search,Organic Search,0.0,330,12,0,0.0
2025-02-27,Clinica Vantia,Organic Search,Organic Search,0.0,280,14,1,1297.19
2025-02-28,Clinica Vantia,Organic Search,Organic Search,0.0,282,5,0,0.0
2025-03-01,Clinica Vantia,Organic Search,Organic Search,0.0,251,14,0,0.0
2025-03-02,Clinica Vantia,Organic Search,Organic Search,0.0,237,6,0,0.0
2025-03-03,Clinica Vantia,Organic Search,Organic Search,0.0,259,9,0,0.0
2025-03-04,Clinica Vantia,Organic Search,Organic Search,0.0,277,14,1,511.18
2025-03-05,Clinica Vantia,Organic Search,Organic Search,0.0,242,6,0,0.0
2025-03-06,Clinica Vantia,Organic Search,Organic Search,0.0,209,4,1,509.26
2025-03-07,Clinica Vantia,Organic Search,Organic Search,0.0,239,9,0,0.0
2025-03-08,Clinica Vantia,Organic Search,Organic Search,0.0,227,7,0,0.0
2025-03-09,Clinica Vantia,Organic Search,Organic Search,0.0,264,10,0,0.0
2025-03-10,Clinica Vantia,Organic Search,Organic Search,0.0,245,4,0,0.0
2025-03-11,Clinica Vantia,Organic Search,Organic Search,0.0,254,10,0,0.0
2025-03-12,Clinica Vantia,Organic Search,Organic Search,0.0,238,9,0,0.0
2025-03-13,Clinica Vantia,Organic Search,Organic Search,0.0,253,9,1,1043.2
2025-03-14,Clinica Vantia,Organic Search,Organic Search,0.0,222,3,0,0.0
2025-03-15,Clinica Vantia,Organic Search,Organic Search,0.0,259,11,0,0.0
2025-03-16,Clinica Vantia,Organic Search,Organic Search,0.0,260,4,1,1579.42
2025-03-17,Clinica Vantia,Organic Search,Organic Search,0.0,259,8,0,0.0
2025-03-18,Clinica Vantia,Organic Search,Organic Search,0.0,235,10,0,0.0
2025-03-19,Clinica Vantia,Organic Search,Organic Search,0.0,238,16,1,504.91
2025-03-20,Clinica Vantia,Organic Search,Organic Search,0.0,297,9,1,723.98
2025-03-21,Clinica Vantia,Organic Search,Organic Search,0.0,244,6,0,0.0
2025-03-22,Clinica Vantia,Organic Search,Organic Search,0.0,252,7,0,0.0
2025-03-23,Clinica Vantia,Organic Search,Organic Search,0.0,244,7,0,0.0
2025-03-24,Clinica Vantia,Organic Search,Organic Search,0.0,262,10,1,611.6
2025-03-25,Clinica Vantia,Organic Search,Organic Search,0.0,267,7,1,977.1
2025-03-26,Clinica Vantia,Organic Search,Organic Search,0.0,300,12,0,0.0
2025-03-27,Clinica Vantia,Organic Search,Organic Search,0.0,262,8,1,943.48
2025-03-28,Clinica Vantia,Organic Search,Organic Search,0.0,248,3,0,0.0
2025-03-29,Clinica Vantia,Organic Search,Organic Search,0.0,268,6,0,0.0
